Transaction ID,Transaction Date,Menu,Category,Menu ID,Qty,Price,Total Spent,Payment Method,Order Type
SUN-3835107,2023-06-22,Caramel Machiato,Drinks,DRK-04,3,38000,114000,Debit Card,Dine In
SUN-8191346,2023-07-06,Caramel Machiato,Drinks,DRK-04,1,38000,38000,Unknown,Take Away
SUN-7920383,2023-10-03,Club Sandwich,Food,FOD-05,3,45000,135000,Debit Card,Take Away
SUN-6464422,2023-12-13,Grill Chicken Caesar Salad,Food,FOD-04,3,42000,126000,Debit Card,Dine In
SUN-2014718,2023-01-13,Buttermilk Fried Chicken,Food,FOD-01,1,48000,48000,Debit Card,Take Away
SUN-7542218,2023-02-22,New York Cheesecake,Dessert,DST-03,1,42000,42000,Digital Wallet,Dine In
SUN-5330146,2023-10-28,Espreso Single,Drinks,DRK-01,1,22000,22000,Digital Wallet,Online Order
SUN-3755609,2023-12-13,Caramel Machiato,Drinks,DRK-04,1,38000,38000,Unknown,Online Order
SUN-4316847,2023-04-01,New York Cheesecake,Dessert,DST-03,3,42000,126000,Cash,Dine In
SUN-9100246,2023-04-24,Iced Americano,Drinks,DRK-02,3,28000,84000,Cash,Take Away
SUN-3821421,2023-11-14,Choco Lava Cake,Dessert,DST-04,1,35000,35000,Debit Card,Take Away
SUN-7147217,2023-06-04,New York Cheesecake,Dessert,DST-03,4,42000,168000,Digital Wallet,Online Order
SUN-4825977,2023-04-10,Nasi Goreng Kampung,Food,FOD-03,2,38000,76000,Digital Wallet,Take Away
SUN-5748405,2023-10-30,Nasi Goreng Kampung,Food,FOD-03,2,38000,76000,Digital Wallet,Take Away
SUN-2252707,2023-04-04,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Debit Card,Dine In
SUN-5365865,2023-05-30,Classic Tirmaisu,Dessert,DST-01,3,38000,114000,Unknown,Dine In
SUN-5552295,2023-08-23,Grill Chicken Caesar Salad,Food,FOD-04,4,42000,168000,Debit Card,Take Away
SUN-6429304,2023-07-20,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Dine In
SUN-2229056,2023-02-01,Iced Americano,Drinks,DRK-02,4,28000,112000,Digital Wallet,Online Order
SUN-2101618,2023-01-11,Club Sandwich,Food,FOD-05,1,45000,45000,Unknown,Dine In
SUN-1231054,,Espreso Single,Drinks,DRK-01,2,22000,44000,Unknown,Dine In
SUN-9323540,2023-10-03,Club Sandwich,Food,FOD-05,2,45000,90000,Cash,Take Away
SUN-5000030,2023-11-02,Grill Chicken Caesar Salad,Food,FOD-04,1,42000,42000,Unknown,Dine In
SUN-7129459,2023-07-16,Cinnamon Roll,Dessert,DST-05,3,28000,84000,Cash,Dine In
SUN-5719631,2023-10-26,Club Sandwich,Food,FOD-05,1,45000,45000,Cash,Take Away
SUN-2810366,2023-05-01,Nasi Goreng Kampung,Food,FOD-03,4,38000,152000,Debit Card,Unknown
SUN-8497237,2023-06-15,Cinnamon Roll,Dessert,DST-05,1,28000,28000,Debit Card,Dine In
SUN-3213517,2023-10-15,Espreso Single,Drinks,DRK-01,3,22000,66000,Debit Card,Dine In
SUN-6569344,2023-02-15,Club Sandwich,Food,FOD-05,3,45000,135000,Digital Wallet,Unknown
SUN-9343698,2023-04-21,Classic Tirmaisu,Dessert,DST-01,1,38000,38000,Debit Card,Online Order
SUN-1537063,2023-02-15,Espreso Single,Drinks,DRK-01,4,22000,88000,Debit Card,Online Order
SUN-2317971,2023-06-15,Espreso Single,Drinks,DRK-01,4,22000,88000,Debit Card,Online Order
SUN-6683769,2023-12-23,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Debit Card,Online Order
SUN-6644096,2023-02-18,Creamy Maycha Latte,Drinks,DRK-05,4,35000,140000,Digital Wallet,Take Away
SUN-9455137,2023-05-20,Grill Chicken Caesar Salad,Food,FOD-04,2,42000,84000,Digital Wallet,Dine In
SUN-9674213,2023-05-28,Buttermilk Fried Chicken,Food,FOD-01,3,48000,144000,Debit Card,Take Away
SUN-1366257,2023-11-26,Cinnamon Roll,Dessert,DST-05,2,28000,56000,Cash,Unknown
SUN-9663603,2023-03-16,Iced Americano,Drinks,DRK-02,3,28000,84000,Unknown,Dine In
SUN-2527896,2023-07-03,Club Sandwich,Food,FOD-05,3,45000,135000,Debit Card,Take Away
SUN-2039133,2023-04-06,Classic Tirmaisu,Dessert,DST-01,2,38000,76000,Cash,Dine In
SUN-6919180,2023-01-08,Beef Carbonara Pasta,Food,FOD-02,2,52000,104000,Debit Card,Unknown
